timestamp,message
1641954240562,"2022-01-12 02:24:00,545 [INFO ] W-9000-model_1 ACCESS_LOG - /169.254.178.2:48276 ""GET /ping HTTP/1.1"" 200 0"
1641954245564,"2022-01-12 02:24:00,545 [INFO ] W-9000-model_1 TS_METRICS - Requests2XX.Count:1|#Level:Host|#hostname:container-0.local,timestamp:null"
1641954245564,"2022-01-12 02:24:05,545 [INFO ] W-9000-model_1 ACCESS_LOG - /169.254.178.2:48276 ""GET /ping HTTP/1.1"" 200 0"
1641954250566,"2022-01-12 02:24:05,545 [INFO ] W-9000-model_1 TS_METRICS - Requests2XX.Count:1|#Level:Host|#hostname:container-0.local,timestamp:null"
1641954250566,"2022-01-12 02:24:10,545 [INFO ] W-9000-model_1 ACCESS_LOG - /169.254.178.2:48276 ""GET /ping HTTP/1.1"" 200 1"
1641954255568,"2022-01-12 02:24:10,545 [INFO ] W-9000-model_1 TS_METRICS - Requests2XX.Count:1|#Level:Host|#hostname:container-0.local,timestamp:null"
1641954255568,"2022-01-12 02:24:15,545 [INFO ] W-9000-model_1 ACCESS_LOG - /169.254.178.2:48276 ""GET /ping HTTP/1.1"" 200 1"
1641954260570,"2022-01-12 02:24:15,545 [INFO ] W-9000-model_1 TS_METRICS - Requests2XX.Count:1|#Level:Host|#hostname:container-0.local,timestamp:null"
1641954260570,"2022-01-12 02:24:20,546 [INFO ] pool-1-thread-4 ACCESS_LOG - /169.254.178.2:48276 ""GET /ping HTTP/1.1"" 200 1"
1641954260570,"2022-01-12 02:24:20,546 [INFO ] pool-1-thread-4 TS_METRICS - Requests2XX.Count:1|#Level:Host|#hostname:container-0.local,timestamp:null"
1641954260570,"2022-01-12 02:24:20,564 [INFO ] W-9000-model_1-stdout org.pytorch.serve.wlm.WorkerLifeCycle - Listening on port: /home/model-server/tmp/.ts.sock.9000"
1641954260570,"2022-01-12 02:24:20,564 [INFO ] W-9000-model_1-stdout org.pytorch.serve.wlm.WorkerLifeCycle - [PID]198"
1641954260570,"2022-01-12 02:24:20,564 [INFO ] W-9000-model_1-stdout org.pytorch.serve.wlm.WorkerLifeCycle - Torch worker started."
1641954260570,"2022-01-12 02:24:20,564 [INFO ] W-9000-model_1-stdout org.pytorch.serve.wlm.WorkerLifeCycle - Python runtime: 3.6.13"
1641954260570,"2022-01-12 02:24:20,564 [INFO ] W-9000-model_1 org.pytorch.serve.wlm.WorkerThread - Connecting to: /home/model-server/tmp/.ts.sock.9000"
1641954261326,"2022-01-12 02:24:20,565 [INFO ] W-9000-model_1-stdout org.pytorch.serve.wlm.WorkerLifeCycle - Connection accepted: /home/model-server/tmp/.ts.sock.9000."
1641954261326,"2022-01-12 02:24:21,138 [INFO ] W-9000-model_1-stdout org.pytorch.serve.wlm.WorkerLifeCycle - Backend worker process died."
1641954261326,"2022-01-12 02:24:21,139 [INFO ] W-9000-model_1-stdout org.pytorch.serve.wlm.WorkerLifeCycle - Traceback (most recent call last):"
1641954261326,"2022-01-12 02:24:21,139 [INFO ] epollEventLoopGroup-5-1 org.pytorch.serve.wlm.WorkerThread - 9000 Worker disconnected. WORKER_STARTED"
1641954261326,"2022-01-12 02:24:21,139 [INFO ] W-9000-model_1-stdout org.pytorch.serve.wlm.WorkerLifeCycle -   File ""/opt/conda/lib/python3.6/site-packages/ts/model_service_worker.py"", line 182, in <module>"
1641954261326,"2022-01-12 02:24:21,139 [WARN ] W-9000-model_1 org.pytorch.serve.wlm.BatchAggregator - Load model failed: model, error: Worker died."
1641954261326,"2022-01-12 02:24:21,140 [WARN ] W-9000-model_1 org.pytorch.serve.wlm.WorkerLifeCycle - terminateIOStreams() threadName=W-9000-model_1-stderr"
1641954261326,"2022-01-12 02:24:21,140 [WARN ] W-9000-model_1 org.pytorch.serve.wlm.WorkerLifeCycle - terminateIOStreams() threadName=W-9000-model_1-stdout"
1641954261326,"2022-01-12 02:24:21,140 [INFO ] W-9000-model_1 org.pytorch.serve.wlm.WorkerThread - Retry worker: 9000 in 233 seconds."
1641954261326,"2022-01-12 02:24:21,140 [INFO ] W-9000-model_1-stdout org.pytorch.serve.wlm.WorkerLifeCycle -     worker.run_server()"
1641954261576,"2022-01-12 02:24:21,140 [INFO ] W-9000-model_1-stdout org.pytorch.serve.wlm.WorkerLifeCycle - Stopped Scanner - W-9000-model_1-stdout"
1641954265577,"2022-01-12 02:24:21,472 [INFO ] W-9000-model_1-stderr org.pytorch.serve.wlm.WorkerLifeCycle - Stopped Scanner - W-9000-model_1-stderr"
1641954265577,"2022-01-12 02:24:25,545 [INFO ] W-9000-model_1 ACCESS_LOG - /169.254.178.2:48276 ""GET /ping HTTP/1.1"" 200 1"
1641954270579,"2022-01-12 02:24:25,545 [INFO ] W-9000-model_1 TS_METRICS - Requests2XX.Count:1|#Level:Host|#hostname:container-0.local,timestamp:null"
1641954270579,"2022-01-12 02:24:30,545 [INFO ] W-9000-model_1 ACCESS_LOG - /169.254.178.2:48276 ""GET /ping HTTP/1.1"" 200 1"
1641954275581,"2022-01-12 02:24:30,545 [INFO ] W-9000-model_1 TS_METRICS - Requests2XX.Count:1|#Level:Host|#hostname:container-0.local,timestamp:null"
1641954275581,"2022-01-12 02:24:35,545 [INFO ] W-9000-model_1 ACCESS_LOG - /169.254.178.2:48276 ""GET /ping HTTP/1.1"" 200 1"
